transnum,treatment,site,transectid,siteno,forb,graminoid,bryophyte,dshrub,eshrub,conifer,litter,soil,rockcrust
1,trampled,TM,TM-1,1,1.5,1.1,0,0,8.35,0,0,92.5,0
1,reference,TM,TM-2,1,7.15,0,1.75,0,33.2,0.4,59,0,0
2,trampled,TM,TM-3,1,9.15,6.4,0,0,1.95,0,0,76,0
2,reference,TM,TM-4,1,22.7,5,11.2,0,78.8,7,3.85,0,0
3,trampled,TM,TM-5,1,20.25,2,5.2,0,55,2.55,0,6,7
3,reference,TM,TM-6,1,20.15,11.3,12.25,10.1,38.75,12.55,1.5,0,1
4,trampled,TM,TM-7,1,16.5,0.7,0,0,63.25,2.05,1,48.5,0
4,reference,TM,TM-8,1,4,0.25,7.6,0,52.5,2.7,23,0,9.5
5,trampled,BT,BT-9,2,12.4,0.4,2.4,0,20.5,0,0,45,0
5,reference,BT,BT-10,2,2,0.1,4.3,0,38.1,0,63,0,0
6,trampled,BT,BT-11,2,0.35,0.35,2,0,27.5,9.6,12.95,33.5,13.5
6,reference,BT,BT-12,2,8,0.3,0,0,50,24,28.5,0,0
7,trampled,BT,BT-13,2,18.9,2.15,0.5,0,33.55,8.2,3.5,45,0
7,reference,BT,BT-14,2,5.8,0.55,2.3,0,54.55,4.15,12.5,5,0
8,trampled,BT,BT-15,2,1.1,0.5,0.2,0,1.9,0.05,0.5,40,41.5
8,reference,BT,BT-16,2,1,0,2.1,0,17.65,13.65,4.1,13,46
9,trampled,PR,PR-17,3,13.1,6.05,0.5,0,5.6,0.1,0,72,0.5
9,reference,PR,PR-18,3,16.95,1.05,13.85,0,40.6,0.25,0,1.95,2.3
10,trampled,PR,PR-19,3,12.55,9,1.65,0,4.7,0,2.95,30.5,1
10,reference,PR,PR-20,3,39.9,5.1,13.5,0,63.1,0.1,1.5,3,7.5
11,trampled,PR,PR-21,3,5.85,10.25,1.1,0,18.95,0.5,0,65,0
11,reference,PR,PR-22,3,30.45,9.65,5.35,0,51.25,0.05,1.5,17,0
12,trampled,PR,PR-23,3,4.8,0.85,0,0,1.35,0.15,19.5,70.5,6.333333333
12,reference,PR,PR-24,3,3.4,0.3,2.65,0,29.2,1.3,38.5,0,2.7
13,trampled,TM,TM-25,1,9.25,1.8,5.5,0,12.7,2.3,0,24.1,31
13,reference,TM,TM-26,1,15.8,3.55,6.65,0,38.65,7.65,11.1,0,1.85
14,trampled,TM,TM-27,1,2.6,0,0.35,0,13.45,8.15,0,82,0
14,reference,TM,TM-28,1,1.15,0,10.85,0,52.1,5.9,9.6,0,2.9